iter	Passed	Remaining
0	144	144031
1	147	73428
2	150	49933
3	154	38500
4	158	31496
5	162	26919
6	171	24396
7	176	21909
8	180	19824
9	183	18159
10	187	16841
11	197	16297
12	207	15722
13	212	14981
14	217	14283
15	224	13795
16	229	13259
17	233	12725
18	239	12346
19	243	11914
20	247	11555
21	252	11225
22	256	10879
23	275	11209
24	280	10957
25	285	10701
26	298	10757
27	304	10565
28	345	11555
29	359	11628
30	393	12309
31	406	12294
32	410	12041
33	430	12243
34	448	12374
35	453	12135
36	463	12071
37	467	11842
38	475	11709
39	483	11599
40	495	11582
41	501	11448
42	510	11358
43	517	11247
44	522	11078
45	528	10959
46	538	10911
47	543	10779
48	549	10663
49	556	10578
50	578	10768
51	585	10679
52	590	10548
53	599	10497
54	623	10704
55	629	10619
56	638	10555
57	643	10451
58	652	10402
59	658	10323
60	668	10289
61	672	10177
62	717	10666
63	723	10584
64	727	10462
65	734	10397
66	750	10454
67	752	10317
68	757	10214
69	761	10112
70	765	10013
71	769	9914
72	776	9861
73	780	9769
74	785	9686
75	790	9606
76	795	9531
77	799	9445
78	806	9405
79	814	9361
80	824	9354
81	832	9317
82	838	9258
83	843	9194
84	846	9114
85	852	9058
86	858	9013
87	869	9006
88	873	8939
89	881	8912
90	889	8882
91	895	8835
92	902	8801
93	916	8830
94	934	8906
95	952	8968
96	961	8952
97	969	8921
98	977	8897
99	988	8894
100	995	8864
101	997	8785
102	1005	8755
103	1009	8697
104	1016	8661
105	1023	8634
106	1033	8623
107	1043	8615
108	1054	8620
109	1058	8564
110	1062	8509
111	1067	8460
112	1070	8406
113	1075	8355
114	1084	8346
115	1088	8296
116	1098	8294
117	1104	8258
118	1107	8202
119	1112	8161
120	1117	8118
121	1125	8098
122	1130	8059
123	1134	8018
124	1140	7981
125	1147	7958
126	1157	7959
127	1160	7904
128	1171	7910
129	1175	7868
130	1180	7827
131	1186	7802
132	1190	7759
133	1199	7752
134	1204	7715
135	1208	7680
136	1214	7651
137	1218	7610
138	1223	7577
139	1227	7538
140	1231	7504
141	1236	7468
142	1241	7441
